synthetic_clients,validator_count,threshold,proposal_type,byzantine_validators,dropout_rate,bandwidth_mbps,rtt_ms,trials,valid_finalization_rate,invalid_rejection_rate,invalid_acceptance_rate,timeout_rate,mean_finality_ms,p95_finality_ms,mean_available_validators,mean_messages_per_round,mean_committee_kb_per_round
100,5,3,valid,0,0.0,100.0,10.0,500,1.0,0.0,0.0,0.0,22.848518421225652,23.950884344932913,5,6,563.4357747395834
200,5,3,invalid,2,0.0,100.0,10.0,500,0.0,1.0,0.0,0.0,36.47617200185332,37.87316693917677,5,6,1119.9357747395834
200,5,3,invalid,3,0.0,100.0,10.0,500,0.0,0.0,1.0,0.0,36.437922238635544,37.8939789909535,5,6,1119.9357747395834
200,5,3,valid,0,0.0,100.0,10.0,500,1.0,0.0,0.0,0.0,35.33242227101331,36.57156884857037,5,6,1119.9357747395834
200,5,3,valid,0,0.2,100.0,10.0,500,0.924,0.0,0.0,0.076,185.11592998276606,2000.0,4.03,5.03,902.6682344401042
200,11,7,invalid,6,0.0,10.0,100.0,500,0.0,0.0,0.0,1.0,2000.0,2000.0,11,12,2463.0491015625003
200,11,7,invalid,7,0.0,10.0,100.0,500,0.0,0.0,1.0,0.0,305.67284917219996,310.4951467586264,11,12,2463.0491015625003
200,11,7,valid,0,0.0,10.0,100.0,500,1.0,0.0,0.0,0.0,293.6916244077715,302.316387484713,11,12,2463.0491015625003
