synthetic_clients,validator_count,threshold,proposal_type,byzantine_validators,dropout_rate,bandwidth_mbps,rtt_ms,trials,valid_finalization_rate,invalid_rejection_rate,invalid_acceptance_rate,timeout_rate,mean_finality_ms,p95_finality_ms,mean_available_validators,mean_messages_per_round,mean_committee_kb_per_round
10,5,3,invalid,0,0.2,10.0,50.0,500,0.0,0.946,0.0,0.054,167.69605966721818,2000.0,3.978,4.978,51.1917580078125
10,5,3,valid,2,0.2,10.0,50.0,500,0.938,0.0,0.0,0.062,182.6220201464603,2000.0,4.04,5.04,51.989618489583336
10,5,3,invalid,2,0.2,10.0,50.0,500,0.0,0.55,0.0,0.45,936.3951845237845,2000.0,4.05,5.05,52.118305664062504
10,5,3,valid,3,0.2,10.0,50.0,500,0.95,0.0,0.0,0.05,159.64775046382346,70.92043135108153,4.004,5.004,51.52634466145833
10,5,3,invalid,3,0.2,10.0,50.0,500,0.0,0.0,0.48,0.52,1071.6865761985675,2000.0,3.898,4.898,50.16226061197917
10,5,3,valid,0,0.4,10.0,50.0,500,0.682,0.0,0.0,0.318,680.0267270166509,2000.0,3.014,4.014,38.786314388020834
10,5,3,invalid,0,0.4,10.0,50.0,500,0.0,0.696,0.0,0.304,652.7617673190819,2000.0,3.028,4.028,38.96647643229167
10,5,3,valid,2,0.4,10.0,50.0,500,0.662,0.0,0.0,0.338,718.6682895451726,2000.0,3.008,4.008,38.709102083333335
10,5,3,invalid,2,0.4,10.0,50.0,500,0.0,0.214,0.0,0.786,1586.1256463485918,2000.0,2.98,3.98,38.34877799479167
10,5,3,valid,3,0.4,10.0,50.0,500,0.668,0.0,0.0,0.332,707.1177828589156,2000.0,2.974,3.974,38.27156569010417
10,5,3,invalid,3,0.4,10.0,50.0,500,0.0,0.0,0.206,0.794,1601.670087349669,2000.0,2.944,3.944,37.88550416666667
10,5,3,valid,0,0.0,10.0,100.0,500,1.0,0.0,0.0,0.0,111.1435872932539,123.72660177966608,5,6,64.34358723958333
10,5,3,invalid,0,0.0,10.0,100.0,500,0.0,1.0,0.0,0.0,110.95682538663584,123.78296437064719,5,6,64.34358723958333
10,5,3,valid,2,0.0,10.0,100.0,500,1.0,0.0,0.0,0.0,110.56820826762899,122.9525421795037,5,6,64.34358723958333
10,5,3,invalid,2,0.0,10.0,100.0,500,0.0,1.0,0.0,0.0,120.87063631880119,130.3632484924815,5,6,64.34358723958333
10,5,3,valid,3,0.0,10.0,100.0,500,1.0,0.0,0.0,0.0,111.0347565352328,123.26460683071213,5,6,64.34358723958333
10,5,3,invalid,3,0.0,10.0,100.0,500,0.0,0.0,1.0,0.0,120.82229578398271,130.19693632910437,5,6,64.34358723958333
10,5,3,valid,0,0.1,10.0,100.0,500,0.996,0.0,0.0,0.004,120.94994851107445,126.76885815709608,4.5,5.5,57.909228515624996
10,5,3,invalid,0,0.1,10.0,100.0,500,0.0,0.99,0.0,0.01,131.59105569416533,126.90200309946778,4.516,5.516,58.11512799479166
10,5,3,valid,2,0.1,10.0,100.0,500,0.992,0.0,0.0,0.008,127.7315338793791,126.34664867659689,4.486,5.486,57.729066471354166
10,5,3,invalid,2,0.1,10.0,100.0,500,0.0,0.704,0.0,0.296,677.0318108652891,2000.0,4.478,5.478,57.626116731770836
10,5,3,valid,3,0.1,10.0,100.0,500,0.992,0.0,0.0,0.008,127.85657411835872,127.39304795020807,4.496,5.496,57.857753645833334
10,5,3,invalid,3,0.1,10.0,100.0,500,0.0,0.0,0.72,0.28,647.0191599919527,2000.0,4.516,5.516,58.11512799479166
10,5,3,valid,0,0.2,10.0,100.0,500,0.944,0.0,0.0,0.056,220.47326081659585,2000.0,3.982,4.982,51.243232877604164
10,5,3,invalid,0,0.2,10.0,100.0,500,0.0,0.934,0.0,0.066,239.40943466578977,2000.0,3.978,4.978,51.1917580078125
10,5,3,valid,2,0.2,10.0,100.0,500,0.928,0.0,0.0,0.072,250.49864678683593,2000.0,4.016,5.016,51.68076927083333
10,5,3,invalid,2,0.2,10.0,100.0,500,0.0,0.536,0.0,0.464,992.5423035371371,2000.0,4.052,5.052,52.144043098958335
10,5,3,valid,3,0.2,10.0,100.0,500,0.94,0.0,0.0,0.06,228.6453314422313,2000.0,3.956,4.956,50.908646223958335
10,5,3,invalid,3,0.2,10.0,100.0,500,0.0,0.0,0.484,0.516,1090.6090730088506,2000.0,3.936,4.936,50.651271875
10,5,3,valid,0,0.4,10.0,100.0,500,0.702,0.0,0.0,0.298,678.7437924977263,2000.0,3.048,4.048,39.22385078125
10,5,3,invalid,0,0.4,10.0,100.0,500,0.0,0.69,0.0,0.31,701.5383581033644,2000.0,2.97,3.97,38.2200908203125
10,5,3,valid,2,0.4,10.0,100.0,500,0.668,0.0,0.0,0.332,742.2352019490978,2000.0,2.98,3.98,38.34877799479167
10,5,3,invalid,2,0.4,10.0,100.0,500,0.0,0.224,0.0,0.776,1579.2243624766222,2000.0,3.078,4.078,39.609912304687505
10,5,3,valid,3,0.4,10.0,100.0,500,0.666,0.0,0.0,0.334,746.4016426590837,2000.0,2.968,3.968,38.19435338541667
10,5,3,invalid,3,0.4,10.0,100.0,500,0.0,0.0,0.2,0.8,1624.2753721076917,2000.0,2.96,3.96,38.09140364583334
10,5,3,valid,0,0.0,100.0,10.0,500,1.0,0.0,0.0,0.0,11.491687783314521,12.687392930692635,5,6,64.34358723958333
10,5,3,invalid,0,0.0,100.0,10.0,500,0.0,1.0,0.0,0.0,11.480682200726788,12.696353251084515,5,6,64.34358723958333
10,5,3,valid,2,0.0,100.0,10.0,500,1.0,0.0,0.0,0.0,11.423848597599083,12.712139728590278,5,6,64.34358723958333
10,5,3,invalid,2,0.0,100.0,10.0,500,0.0,1.0,0.0,0.0,12.444242994727558,13.365171445344838,5,6,64.34358723958333
