dataset,iid,attack_type,aggregation,n,acc_mean,acc_std,best_acc_mean,asr_mean,asr_std,loss_mean,early_stop_count
FashionMNIST,False,adaptive_scaling,fltrust,3,65.33,1.75,65.33,4.03,0.53,1.1195,0
FashionMNIST,False,backdoor,fltrust,3,64.39,4.37,64.41,4.24,1.63,1.1697,0
FashionMNIST,False,sign_flip,fltrust,3,64.73,4.06,64.77,3.76,1.74,1.1465,0
FashionMNIST,True,adaptive_scaling,fltrust,3,73.62,0.57,73.62,3.06,0.39,0.7884,0
FashionMNIST,True,backdoor,fltrust,3,72.77,0.55,72.84,4.21,0.71,0.8096,0
FashionMNIST,True,sign_flip,fltrust,3,73.56,0.46,73.57,3.05,0.36,0.7887,0
