run_dir,experiment_name,suite,dataset,split,attack_type,seed,malicious_ratio,rounds,final_accuracy,final_asr,chain_verification_rate,tamper_detection_rate,tampered_blocks_detected,tampered_blocks_total,decision_reconstruction_rate,reconstructed_decisions,total_decisions,malicious_suppression_rate,benign_retention_rate,malicious_mean_weight,benign_mean_weight,weight_gap,mean_rejection_precision,mean_rejection_recall,mean_rejection_f1,mean_false_rejection_rate
experiments_b_journal\core_fashionmnist_iid_backdoor_proposed_s43_20260607_104254,core_fashionmnist_iid_backdoor_proposed_s43,main,FashionMNIST,IID,backdoor,43,0.2,80,0.0,0.0,1.0,1.0,80,80,1.0,800,800,1.0,1.0,0.0,0.2725865870761636,0.2725865870761636,1.0,1.0,1.0,0.0
experiments_b_journal\core_fashionmnist_iid_backdoor_proposed_s44_20260607_104453,core_fashionmnist_iid_backdoor_proposed_s44,main,FashionMNIST,IID,backdoor,44,0.2,80,0.0,0.0,1.0,1.0,80,80,1.0,800,800,1.0,0.9984375,0.0,0.2717256107530943,0.2717256107530943,0.9958333333333333,1.0,0.9974999999999999,0.0015625
experiments_b_journal\core_fashionmnist_iid_sign_flip_proposed_s42_20260607_102541,core_fashionmnist_iid_sign_flip_proposed_s42,main,FashionMNIST,IID,sign_flip,42,0.2,80,0.0,0.0,1.0,1.0,80,80,1.0,800,800,1.0,0.9921875,0.0,0.2638709977038757,0.2638709977038757,0.9841666666666666,1.0,0.9896428571428573,0.0078125
experiments_b_journal\core_fashionmnist_iid_sign_flip_proposed_s43_20260607_102807,core_fashionmnist_iid_sign_flip_proposed_s43,main,FashionMNIST,IID,sign_flip,43,0.2,80,0.0,0.0,1.0,1.0,80,80,1.0,800,800,1.0,0.990625,0.0,0.2636435663133498,0.2636435663133498,0.9800000000000001,1.0,0.9871428571428572,0.009375
experiments_b_journal\core_fashionmnist_iid_sign_flip_proposed_s44_20260607_103044,core_fashionmnist_iid_sign_flip_proposed_s44,main,FashionMNIST,IID,sign_flip,44,0.2,80,0.0,0.0,1.0,1.0,80,80,1.0,800,800,1.0,0.9890625,0.0,0.26029158163729227,0.26029158163729227,0.9758333333333333,1.0,0.9846428571428572,0.0109375
experiments_b_journal\core_fashionmnist_noniid_adaptive_scaling_proposed_s42_20260607_104714,core_fashionmnist_noniid_adaptive_scaling_proposed_s42,main,FashionMNIST,Non-IID,adaptive_scaling,42,0.2,80,0.0,0.0,1.0,1.0,80,80,1.0,800,800,0.0,1.0,0.1534712980256177,0.3511081920362409,0.19763689401062318,0.0,0.0,0.0,0.0
experiments_b_journal\core_fashionmnist_noniid_adaptive_scaling_proposed_s43_20260607_105005,core_fashionmnist_noniid_adaptive_scaling_proposed_s43,main,FashionMNIST,Non-IID,adaptive_scaling,43,0.2,80,0.0,0.0,1.0,1.0,80,80,1.0,800,800,0.0,1.0,0.2712300399518483,0.2997295184406058,0.0284994784887575,0.0,0.0,0.0,0.0
experiments_b_journal\core_fashionmnist_noniid_adaptive_scaling_proposed_s44_20260607_105254,core_fashionmnist_noniid_adaptive_scaling_proposed_s44,main,FashionMNIST,Non-IID,adaptive_scaling,44,0.2,80,0.0,0.0,1.0,1.0,80,80,1.0,800,800,0.0,1.0,0.11055720849620196,0.3372046343276424,0.22664742583144046,0.0,0.0,0.0,0.0
experiments_b_journal\core_fashionmnist_noniid_backdoor_proposed_s42_20260607_105541,core_fashionmnist_noniid_backdoor_proposed_s42,main,FashionMNIST,Non-IID,backdoor,42,0.2,80,0.0,0.0,1.0,1.0,80,80,1.0,800,800,0.975,1.0,0.003438834314943633,0.3163087140459403,0.31286987973099667,0.975,0.975,0.975,0.0
experiments_b_journal\core_fashionmnist_noniid_backdoor_proposed_s43_20260607_105831,core_fashionmnist_noniid_backdoor_proposed_s43,main,FashionMNIST,Non-IID,backdoor,43,0.2,80,0.0,0.0,1.0,1.0,80,80,1.0,800,800,0.975,0.9453125,0.0038328116590513215,0.30038194628667,0.29654913462761867,0.8291666666666666,0.975,0.8875,0.0546875
