synthetic_clients,validator_count,threshold,bandwidth_mbps,rtt_ms,proposal_kb,finality_record_kb,proposal_tx_ms,vote_tx_ms,network_ms,verification_ms,estimated_finality_ms
10,3,2,10.0,10.0,12.5451171875,0.74033203125,10.27696,0.60648,30.883440000000004,1.2423279992071912,32.1257679992072
10,3,2,10.0,50.0,12.5451171875,0.74033203125,10.27696,0.60648,110.88344000000001,1.2423279992071912,112.1257679992072
10,3,2,10.0,100.0,12.5451171875,0.74033203125,10.27696,0.60648,210.88344,1.2423279992071912,212.1257679992072
10,3,2,50.0,10.0,12.5451171875,0.74033203125,2.0553920000000003,0.121296,22.176688000000002,1.2423279992071912,23.419015999207193
10,3,2,50.0,50.0,12.5451171875,0.74033203125,2.0553920000000003,0.121296,102.176688,1.2423279992071912,103.41901599920719
10,3,2,50.0,100.0,12.5451171875,0.74033203125,2.0553920000000003,0.121296,202.176688,1.2423279992071912,203.4190159992072
10,3,2,100.0,10.0,12.5451171875,0.74033203125,1.0276960000000002,0.060648,21.088344,1.2423279992071912,22.33067199920719
10,3,2,100.0,50.0,12.5451171875,0.74033203125,1.0276960000000002,0.060648,101.088344,1.2423279992071912,102.3306719992072
10,3,2,100.0,100.0,12.5451171875,0.74033203125,1.0276960000000002,0.060648,201.08834399999998,1.2423279992071912,202.33067199920717
10,5,3,10.0,10.0,12.5451171875,0.97080078125,10.27696,0.79528,31.07224,2.0476699946448207,33.11990999464482
10,5,3,10.0,50.0,12.5451171875,0.97080078125,10.27696,0.79528,111.07224000000001,2.0476699946448207,113.11990999464483
10,5,3,10.0,100.0,12.5451171875,0.97080078125,10.27696,0.79528,211.07224,2.0476699946448207,213.11990999464481
10,5,3,50.0,10.0,12.5451171875,0.97080078125,2.0553920000000003,0.159056,22.214448,2.0476699946448207,24.26211799464482
10,5,3,50.0,50.0,12.5451171875,0.97080078125,2.0553920000000003,0.159056,102.214448,2.0476699946448207,104.26211799464483
10,5,3,50.0,100.0,12.5451171875,0.97080078125,2.0553920000000003,0.159056,202.214448,2.0476699946448207,204.26211799464483
10,5,3,100.0,10.0,12.5451171875,0.97080078125,1.0276960000000002,0.079528,21.107224,2.0476699946448207,23.15489399464482
10,5,3,100.0,50.0,12.5451171875,0.97080078125,1.0276960000000002,0.079528,101.107224,2.0476699946448207,103.15489399464482
10,5,3,100.0,100.0,12.5451171875,0.97080078125,1.0276960000000002,0.079528,201.107224,2.0476699946448207,203.15489399464482
10,7,4,10.0,10.0,12.5451171875,1.20126953125,10.27696,0.98408,31.26104,2.8656079986831173,34.12664799868312
10,7,4,10.0,50.0,12.5451171875,1.20126953125,10.27696,0.98408,111.26104000000001,2.8656079986831173,114.12664799868313
10,7,4,10.0,100.0,12.5451171875,1.20126953125,10.27696,0.98408,211.26104,2.8656079986831173,214.12664799868313
10,7,4,50.0,10.0,12.5451171875,1.20126953125,2.0553920000000003,0.196816,22.252208,2.8656079986831173,25.117815998683117
10,7,4,50.0,50.0,12.5451171875,1.20126953125,2.0553920000000003,0.196816,102.252208,2.8656079986831173,105.11781599868311
10,7,4,50.0,100.0,12.5451171875,1.20126953125,2.0553920000000003,0.196816,202.25220800000002,2.8656079986831173,205.11781599868314
10,7,4,100.0,10.0,12.5451171875,1.20126953125,1.0276960000000002,0.098408,21.126103999999998,2.8656079986831173,23.991711998683115
10,7,4,100.0,50.0,12.5451171875,1.20126953125,1.0276960000000002,0.098408,101.12610400000001,2.8656079986831173,103.99171199868313
10,7,4,100.0,100.0,12.5451171875,1.20126953125,1.0276960000000002,0.098408,201.126104,2.8656079986831173,203.99171199868312
10,9,6,10.0,10.0,12.5451171875,1.43173828125,10.27696,1.17288,31.449840000000002,3.6730879987590015,35.122927998759
10,9,6,10.0,50.0,12.5451171875,1.43173828125,10.27696,1.17288,111.44984000000001,3.6730879987590015,115.12292799875901
