run,experiment_name,dataset,split,attack_type,seed,rounds,validator_count,threshold,byzantine_validators,valid_block_finalization_rate,mean_valid_verification_time_ms,scenario,invalid_block_rejection_rate,invalid_block_acceptance_rate,tampered_blocks,mean_invalid_verification_time_ms
core_cifar10_iid_sign_flip_proposed_s42_20260607_153042,core_cifar10_iid_sign_flip_proposed_s42,CIFAR10,IID,sign_flip,42,120,5,3,0,1.0,1.2409908338061844,previous_hash_tamper,1.0,0.0,120,0.008959999953124981
core_cifar10_iid_sign_flip_proposed_s42_20260607_153042,core_cifar10_iid_sign_flip_proposed_s42,CIFAR10,IID,sign_flip,42,120,5,3,0,1.0,1.2409908338061844,omit_client,1.0,0.0,120,0.27680833227350377
core_cifar10_iid_sign_flip_proposed_s42_20260607_153042,core_cifar10_iid_sign_flip_proposed_s42,CIFAR10,IID,sign_flip,42,120,5,3,0,1.0,1.2409908338061844,fake_client,1.0,0.0,120,0.29375166656488244
core_cifar10_iid_sign_flip_proposed_s42_20260607_153042,core_cifar10_iid_sign_flip_proposed_s42,CIFAR10,IID,sign_flip,42,120,5,3,0,1.0,1.2409908338061844,client_signature_tamper,1.0,0.0,120,1.0241708339890465
core_cifar10_iid_sign_flip_proposed_s42_20260607_153042,core_cifar10_iid_sign_flip_proposed_s42,CIFAR10,IID,sign_flip,42,120,5,3,0,1.0,1.2409908338061844,payload_hash_tamper,1.0,0.0,120,0.28313249955923914
core_cifar10_noniid_adaptive_scaling_proposed_s42_20260608_053913,core_cifar10_noniid_adaptive_scaling_proposed_s42,CIFAR10,Non-IID,adaptive_scaling,42,120,5,3,0,1.0,1.2859541669361836,score_tamper,1.0,0.0,120,0.29127249945304357
core_cifar10_noniid_adaptive_scaling_proposed_s42_20260608_053913,core_cifar10_noniid_adaptive_scaling_proposed_s42,CIFAR10,Non-IID,adaptive_scaling,42,120,5,3,0,1.0,1.2859541669361836,weight_tamper,1.0,0.0,120,0.29722583324958884
core_cifar10_noniid_adaptive_scaling_proposed_s42_20260608_053913,core_cifar10_noniid_adaptive_scaling_proposed_s42,CIFAR10,Non-IID,adaptive_scaling,42,120,5,3,0,1.0,1.2859541669361836,client_weight_tamper,1.0,0.0,120,0.2895116660511121
core_cifar10_noniid_adaptive_scaling_proposed_s42_20260608_053913,core_cifar10_noniid_adaptive_scaling_proposed_s42,CIFAR10,Non-IID,adaptive_scaling,42,120,5,3,0,1.0,1.2859541669361836,model_hash_tamper,1.0,0.0,120,0.2885450000273219
core_cifar10_noniid_adaptive_scaling_proposed_s42_20260608_053913,core_cifar10_noniid_adaptive_scaling_proposed_s42,CIFAR10,Non-IID,adaptive_scaling,42,120,5,3,0,1.0,1.2859541669361836,previous_hash_tamper,1.0,0.0,120,0.008485832828834344
core_cifar10_noniid_adaptive_scaling_proposed_s42_20260608_053913,core_cifar10_noniid_adaptive_scaling_proposed_s42,CIFAR10,Non-IID,adaptive_scaling,42,120,5,3,0,1.0,1.2859541669361836,omit_client,1.0,0.0,120,0.2863325004000217
core_cifar10_noniid_adaptive_scaling_proposed_s42_20260608_053913,core_cifar10_noniid_adaptive_scaling_proposed_s42,CIFAR10,Non-IID,adaptive_scaling,42,120,5,3,0,1.0,1.2859541669361836,fake_client,1.0,0.0,120,0.30420166585827246
core_cifar10_noniid_adaptive_scaling_proposed_s42_20260608_053913,core_cifar10_noniid_adaptive_scaling_proposed_s42,CIFAR10,Non-IID,adaptive_scaling,42,120,5,3,0,1.0,1.2859541669361836,client_signature_tamper,1.0,0.0,120,1.0683791665845395
core_cifar10_noniid_adaptive_scaling_proposed_s42_20260608_053913,core_cifar10_noniid_adaptive_scaling_proposed_s42,CIFAR10,Non-IID,adaptive_scaling,42,120,5,3,0,1.0,1.2859541669361836,payload_hash_tamper,1.0,0.0,120,0.2922883331242095
core_cifar10_noniid_adaptive_scaling_proposed_s43_20260608_191335,core_cifar10_noniid_adaptive_scaling_proposed_s43,CIFAR10,Non-IID,adaptive_scaling,43,120,5,3,0,1.0,1.2726116668394145,score_tamper,1.0,0.0,120,0.28807749986299314
