run_dir,experiment_name,dataset,iid,alpha,aggregation,attack_type,malicious_ratio,num_rounds,final_clean_accuracy,best_clean_accuracy,final_test_loss,final_backdoor_asr,final_rejection_rate,final_tpr,final_fpr,final_f1,chain_valid,total_time
experiments_b_journal\b_journal_smoke_mnist_20260606_125735,b_journal_smoke_mnist,MNIST,True,0.5,proposed,sign_flip,0.2,2,94.66,94.66,0.19778433138132095,0.3412969283276451,0.0,0.0,0.0,0.0,True,36.299171299964655
experiments_b_journal\b_journal_smoke_mnist_20260606_125811,b_journal_smoke_mnist,MNIST,True,0.5,proposed,sign_flip,0.2,2,94.66,94.66,0.19778433138132095,0.3412969283276451,0.0,0.0,0.0,0.0,True,34.834081000008155
experiments_b_journal\b_journal_smoke_mnist_20260606_130547,b_journal_smoke_mnist,MNIST,True,0.5,proposed,sign_flip,0.2,2,94.66,94.66,0.19778433138132095,0.3412969283276451,0.0,0.0,0.0,0.0,True,50.132553199946415
experiments_b_journal\b_journal_smoke_mnist_20260606_131048,b_journal_smoke_mnist,MNIST,True,0.5,proposed,sign_flip,0.2,2,94.66,94.66,0.20094860186576843,0.6825938566552902,0.0,0.0,0.0,0.0,True,13.042790799983777
experiments_b_journal\b_journal_smoke_mnist_cuda_20260606_131144,b_journal_smoke_mnist_cuda,MNIST,True,0.5,proposed,sign_flip,0.2,2,90.82,90.82,0.38000727500915527,0.8561643835616438,0.0,0.0,0.0,0.0,True,17.345053599972744
experiments_b_journal\b_journal_smoke_mnist_cuda_20260606_132110,b_journal_smoke_mnist_cuda,MNIST,True,0.5,proposed,sign_flip,0.2,2,91.02,91.02,0.3848169880390167,0.684931506849315,0.0,0.0,0.0,0.0,True,17.260879200010095
experiments_b_journal\b_journal_smoke_mnist_cuda_20260606_133317,b_journal_smoke_mnist_cuda,MNIST,True,0.5,proposed,sign_flip,0.2,2,85.38,85.38,0.5600549864768982,0.9393680614859095,0.0,0.0,0.0,0.0,True,7.828628100047354
experiments_b_journal\core_cifar10_iid_adaptive_scaling_fedavg_s42_20260607_160712,core_cifar10_iid_adaptive_scaling_fedavg_s42,CIFAR10,True,0.5,fedavg,adaptive_scaling,0.2,120,84.87,85.52,0.4599057536125183,1.3089005235602094,0.0,0.0,0.0,0.0,True,2795.674254600017
experiments_b_journal\core_cifar10_iid_adaptive_scaling_krum_s42_20260607_165353,core_cifar10_iid_adaptive_scaling_krum_s42,CIFAR10,True,0.5,krum,adaptive_scaling,0.2,120,74.57,75.68,1.20701506357193,4.537521815008726,90.0,1.0,0.875,0.3636363636363636,True,2954.9162335
experiments_b_journal\core_cifar10_iid_adaptive_scaling_median_s42_20260607_183303,core_cifar10_iid_adaptive_scaling_median_s42,CIFAR10,True,0.5,median,adaptive_scaling,0.2,120,84.8,85.02,0.4540857197761536,1.3089005235602094,0.0,0.0,0.0,0.0,True,3027.4798901000177
